year;month;day;dep_time;sched_dep_time;dep_delay;arr_time;sched_arr_time;arr_delay;carrier;flight;tailnum;origin;dest;air_time;distance;hour;minute;time_hour
2013; 2; 5;1611;1600; 11;1919;1840; 39;DL; 847;N641DL;LGA;ATL;118; 762;16; 0;2013-02-05T21:00:00Z
2013; 5; 7;1921;1930; -9;2104;2155;-51;EV;4998;N708EV;LGA;MCI;135;1107;19;30;2013-05-07T23:00:00Z
2013; 4; 7; 651; 700; -9; 946;1010;-24;AA;2279;N3FMAA;LGA;MIA;150;1096; 7; 0;2013-04-07T11:00:00Z
2013; 3;20;1807;1720; 47;2112;2033; 39;UA;1437;N16701;EWR;AUS;218;1504;17;20;2013-03-20T21:00:00Z
2013; 3;22; 849; 900;-11; 953;1022;-29;US;2167;N763US;LGA;DCA; 40; 214; 9; 0;2013-03-22T13:00:00Z
2013; 6;12; 935; 900; 35;1227;1156; 31;UA; 732;N563UA;EWR;LAX;318;2454; 9; 0;2013-06-12T13:00:00Z
2013; 3;10;1454;1455; -1;1739;1757;-18;B6; 141;N531JB;JFK;PBI;133;1028;14;55;2013-03-10T18:00:00Z
2013; 5; 7;1439;1445; -6;1752;1805;-13;AA;1925;N3KDAA;LGA;MIA;160;1096;14;45;2013-05-07T18:00:00Z
2013; 6;27;1859;1655;124;NA;1835;NA;EV;4202;N13913;EWR;STL;NA; 872;16;55;2013-06-27T20:00:00Z
2013; 2;28;1828;1829; -1;2028;2032; -4;US;1973;N199UW;EWR;CLT; 80; 529;18;29;2013-02-28T23:00:00Z
2013;11;25;1358;1359; -1;1501;1508; -7;B6; 118;N203JB;JFK;BOS; 38; 187;13;59;2013-11-25T18:00:00Z
2013; 3;20;1904;1905; -1;2024;2038;-14;EV;3805;N12921;EWR;BNA;119; 748;19; 5;2013-03-20T23:00:00Z
2013; 3;11;1235;1235;  0;1455;1505;-10;WN;3209;N933WN;LGA;DEN;230;1620;12;35;2013-03-11T16:00:00Z
2013;11;19;1005; 949; 16;1241;1237;  4;B6; 483;N639JB;JFK;MCO;136; 944; 9;49;2013-11-19T14:00:00Z
2013; 9;24; 620; 620;  0; 819; 823; -4;EV;4535;N16149;EWR;MSP;152;1008; 6;20;2013-09-24T10:00:00Z
2013;11;10; 627; 630; -3; 812; 806;  6;B6; 905;N193JB;JFK;ORD;134; 740; 6;30;2013-11-10T11:00:00Z
2013; 3;19;1320;1315;  5;1534;1520; 14;MQ;4564;N723MQ;LGA;DTW; 81; 502;13;15;2013-03-19T17:00:00Z
2013; 1;27;1151;1155; -4;1251;1304;-13;9E;3483;N602LR;JFK;BOS; 40; 187;11;55;2013-01-27T16:00:00Z
2013; 5;10;1609;1530; 39;1847;1804; 43;9E;4203;N8828D;JFK;IND;101; 665;15;30;2013-05-10T19:00:00Z
2013;11;10;2006;2015; -9;2138;2126; 12;B6; 418;N179JB;JFK;BOS; 39; 187;20;15;2013-11-11T01:00:00Z
2013; 6;13; 654; 700; -6;1051; 900;NA;9E;3879;N8432A;EWR;CVG;NA; 569; 7; 0;2013-06-13T11:00:00Z
2013; 6; 8;1246;1255; -9;1414;1440;-26;MQ;4426;N735MQ;LGA;CMH; 73; 479;12;55;2013-06-08T16:00:00Z
2013; 7;17; 930; 934; -4;1204;1249;-45;UA;1281;N12225;EWR;SFO;314;2565; 9;34;2013-07-17T13:00:00Z
2013; 1;25;1730;1725;  5;2038;2023; 15;UA;1134;N41135;EWR;IAH;200;1400;17;25;2013-01-25T22:00:00Z
2013; 9;18;1737;1729;  8;1939;1947; -8;UA;1635;N28478;EWR;PHX;276;2133;17;29;2013-09-18T21:00:00Z
2013; 1;30; 825; 830; -5;1021;1025; -4;AA;1855;N4YNAA;LGA;STL;146; 888; 8;30;2013-01-30T13:00:00Z
2013; 4;24; 823; 826; -3;1032;1010; 22;EV;4088;N14179;EWR;MEM;147; 946; 8;26;2013-04-24T12:00:00Z
2013;10;21; 607; 610; -3; 746; 745;  1;WN;2609;N738CB;LGA;STL;142; 888; 6;10;2013-10-21T10:00:00Z
2013; 3;26; 711; 715; -4;1044;1045; -1;AA; 443;N5CBAA;JFK;MIA;158;1089; 7;15;2013-03-26T11:00:00Z
2013;12;16;1253;1250;  3;1358;1415;-17;WN; 144;N290WN;LGA;MKE;113; 738;12;50;2013-12-16T17:00:00Z
2013; 2; 1;1728;1700; 28;1945;1935; 10;DL;2042;N301DQ;EWR;ATL;114; 746;17; 0;2013-02-01T22:00:00Z
2013; 4;12; 619; 620; -1; 751; 753; -2;EV;4389;N11535;EWR;RDU; 79; 416; 6;20;2013-04-12T10:00:00Z
2013; 8;15; 829; 830; -1;1121;1126; -5;UA;1626;N13750;EWR;SAN;324;2425; 8;30;2013-08-15T12:00:00Z
2013; 5;23; 557; 600; -3; 645; 700;-15;US;2114;N752US;LGA;BOS; 29; 184; 6; 0;2013-05-23T10:00:00Z
2013; 3;19;1441;1445; -4;1805;1819;-14;DL; 963;N713TW;JFK;LAX;337;2475;14;45;2013-03-19T18:00:00Z
2013;12; 9;1413;1355; 18;1815;1715; 60;US; 686;N672AW;EWR;PHX;347;2133;13;55;2013-12-09T18:00:00Z
